Time,ForceX,ForceY,ForceZ,ForceRez,YawG,PitchG,RollG,AccelX,AccelY,AccelZ,AccRMS,RST,GyroRMS,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Label,Technique
0.01,0,0.49,0,0.49,179.944,0.038,0.091,-0.086,-0.019,0.996,1,0,22.94,11.36,13.519,-14.664,-0.139,0.153,0.104,Random,N/A
0.02,0,0.48,0,0.48,179.793,0.122,0.342,-0.088,0.004,0.996,1,0,22.41,8.255,11.574,-17.303,-0.139,0.153,0.104,Random,N/A
0.03,-0.01,0.48,0,0.48,179.608,0.194,0.563,-0.112,-0.003,0.994,1,0,24.62,3.807,10.201,-22.026,-0.139,0.153,0.104,Random,N/A
0.04,-0.01,0.48,-0.01,0.48,179.384,0.209,0.784,-0.128,-0.032,0.991,1,0,26.86,0.725,15.129,-22.148,-0.139,0.153,0.104,Random,N/A
0.05,-0.01,0.48,-0.02,0.48,179.166,0.174,1.047,-0.125,-0.045,0.991,1,0,24.63,0.74,14.702,-19.714,-0.139,0.153,0.104,Random,N/A
0.06,-0.02,0.47,-0.02,0.48,178.972,0.133,1.292,-0.137,-0.048,0.989,1,0,21.34,2.251,11.536,-17.769,-0.139,0.153,0.104,Random,N/A
0.07,-0.02,0.47,-0.02,0.47,178.797,0.112,1.507,-0.141,-0.03,0.99,1,0,17.99,4.799,9.209,-14.664,-0.139,0.153,0.104,Random,N/A
0.08,-0.02,0.47,-0.02,0.47,178.657,0.134,1.707,-0.144,-0.015,0.989,1,0,15.24,8.278,7.401,-10.429,-0.18,0.144,0.098,Random,N/A
0.09,-0.02,0.47,-0.02,0.47,178.571,0.218,1.874,-0.135,0.006,0.991,1,0,13.49,12.009,2.388,-5.676,-0.18,0.144,0.098,Random,N/A
0.1,-0.03,0.47,-0.04,0.48,178.521,0.342,2.007,-0.139,0.009,0.99,1,0,13.44,13.245,1.678,-1.816,-0.18,0.144,0.098,Random,N/A
0.11,-0.04,0.47,-0.05,0.48,178.51,0.475,2.144,-0.101,0.037,0.994,1,0,12.18,12.07,1.297,1.564,-0.18,0.144,0.098,Random,N/A
0.12,-0.03,0.47,-0.05,0.47,178.525,0.658,2.218,-0.105,0.046,0.993,1,0,19.1,16.541,-9.521,0.214,-0.18,0.144,0.098,Random,N/A
0.13,-0.04,0.47,-0.04,0.48,178.524,0.884,2.242,-0.112,0.072,0.991,1,0,18.21,17.891,-2.975,-1.755,-0.18,0.144,0.098,Random,N/A
0.14,-0.05,0.5,-0.05,0.5,178.502,1.121,2.308,-0.135,0.051,0.99,1,0,14.79,14.214,-0.58,-4.089,-0.18,0.144,0.098,Random,N/A
0.15,-0.05,0.49,-0.06,0.5,178.46,1.268,2.422,-0.123,0,0.992,1,0,8.54,6.294,3.792,-4.379,-0.18,0.144,0.098,Random,N/A
0.16,-0.05,0.5,-0.06,0.51,178.417,1.273,2.574,-0.107,-0.029,0.994,1,0,7.44,-0.061,7.156,-2.235,-0.18,0.144,0.098,Random,N/A
0.17,-0.05,0.51,-0.05,0.52,178.398,1.189,2.73,-0.086,-0.032,0.996,1,0,6.18,-2.319,5.775,0.648,-0.18,0.144,0.098,Random,N/A
0.18,-0.05,0.51,-0.05,0.52,178.405,1.075,2.846,-0.083,-0.015,0.996,1,0,2.74,-1.305,0.58,2.434,-0.18,0.144,0.098,Random,N/A
0.19,-0.04,0.51,-0.05,0.52,178.424,0.989,2.919,-0.104,0.021,0.994,1,0,9.12,-4.921,-7.37,1.808,-0.18,0.144,0.098,Random,N/A
0.2,-0.04,0.51,-0.07,0.51,178.434,0.916,2.92,-0.124,0.047,0.991,1,0,19.24,-13.031,-14.023,0.252,-0.173,0.159,0.102,Random,N/A
0.21,-0.04,0.5,-0.06,0.5,178.438,0.822,2.904,-0.12,0.019,0.993,1,0,20.86,-17.372,-11.375,0.893,-0.173,0.159,0.102,Random,N/A
0.22,-0.04,0.5,-0.06,0.5,178.458,0.667,2.893,-0.115,0.008,0.993,1,0,20.97,-14.915,-14.008,4.242,-0.173,0.159,0.102,Random,N/A
0.23,-0.03,0.49,-0.06,0.49,178.512,0.526,2.868,-0.113,-0.017,0.993,1,0,18.05,-9.521,-13.107,7.866,-0.173,0.159,0.102,Random,N/A
0.24,-0.03,0.49,-0.05,0.49,178.592,0.411,2.858,-0.118,-0.012,0.993,1,0,13.9,-5.096,-9.117,9.155,-0.173,0.159,0.102,Random,N/A
0.25,-0.03,0.48,-0.04,0.49,178.68,0.347,2.869,-0.111,0.011,0.994,1,0,14.73,-3.166,-11.131,9.087,-0.173,0.159,0.102,Random,N/A
0.26,-0.03,0.47,-0.05,0.48,178.765,0.341,2.865,-0.111,0.02,0.994,1,0,14.43,-2.884,-11.765,7.79,-0.173,0.159,0.102,Random,N/A
0.27,-0.03,0.46,-0.04,0.47,178.845,0.328,2.852,-0.137,-0.004,0.991,1,0,16.29,-3.7,-13.42,8.4,-0.173,0.159,0.102,Random,N/A
0.28,-0.03,0.46,-0.03,0.46,178.943,0.278,2.841,-0.09,-0.018,0.996,1,0,16.57,-2.785,-10.414,12.596,-0.173,0.159,0.102,Random,N/A
0.29,-0.03,0.46,-0.05,0.46,179.07,0.198,2.822,-0.073,-0.031,0.997,1,0,18.59,-1.091,-12.024,14.153,-0.173,0.159,0.102,Random,N/A
0.3,-0.03,0.45,-0.06,0.46,179.201,0.101,2.734,-0.051,-0.026,0.998,1,0,21.67,0.74,-17.387,12.894,-0.173,0.159,0.102,Random,N/A
0.31,-0.03,0.47,-0.04,0.47,179.304,0.003,2.548,-0.047,-0.012,0.999,1,0,24.61,1.587,-23.17,7.988,-0.173,0.159,0.102,Random,N/A
0.32,-0.04,0.47,-0.03,0.48,179.348,-0.068,2.364,-0.057,0.003,0.998,1,0,25.86,1.709,-25.711,0.29,-0.173,0.159,0.102,Random,N/A
0.33,-0.06,0.48,-0.03,0.49,179.301,0,2.173,-0.061,0.022,0.998,1,0,30.15,2.121,-27.435,-12.024,-0.171,0.142,0.1,Random,N/A
