Time,ForceX,ForceY,ForceZ,ForceRez,YawG,PitchG,RollG,AccelX,AccelY,AccelZ,AccRMS,RST,GyroRMS,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Label,Technique
0.01,-0.01,0.5,-0.01,0.5,180.032,0.142,-0.033,-0.189,0.028,0.982,1,0,36.89,33.005,-15.335,5.882,-0.063,0.342,0.093,Random,N/A
0.02,-0.03,0.5,0,0.5,180.08,0.481,-0.057,-0.187,0.042,0.982,1,0,30.57,29.427,-8.133,0.946,-0.063,0.342,0.093,Random,N/A
0.03,-0.02,0.5,0,0.5,180.078,0.788,-0.018,-0.183,0.068,0.981,1,0,25.07,24.384,-4.524,-3.387,-0.063,0.342,0.093,Random,N/A
0.04,-0.03,0.5,0,0.5,180.035,1.118,0.06,-0.195,0.061,0.979,1,0,19.58,18.311,-3.273,-5.92,-0.077,0.338,0.086,Random,N/A
0.05,-0.03,0.51,0.01,0.51,179.985,1.265,0.124,-0.174,0.013,0.985,1,0,14.36,12.375,-3.212,-6.371,-0.077,0.338,0.086,Random,N/A
0.06,-0.04,0.52,0,0.52,179.932,1.358,0.191,-0.178,0.006,0.984,1,0,11.94,9.613,-3.227,-6.149,-0.077,0.338,0.086,Random,N/A
0.07,-0.05,0.51,-0.02,0.52,179.872,1.437,0.271,-0.189,0.037,0.981,1,0,6.3,4.288,-2.426,-3.761,-0.077,0.338,0.086,Random,N/A
0.08,-0.06,0.52,-0.03,0.52,179.827,1.475,0.389,-0.201,0.001,0.98,1,0,9.66,0.374,-9.018,-3.151,-0.077,0.338,0.086,Random,N/A
0.09,-0.06,0.52,-0.04,0.52,179.786,1.458,0.395,-0.214,-0.003,0.977,1,0,15.9,-2.632,-14.58,-5.501,-0.077,0.338,0.086,Random,N/A
0.1,-0.05,0.52,-0.04,0.52,179.726,1.419,0.372,-0.2,0.049,0.979,1,0,14.11,-3.998,-12.459,-5.028,-0.077,0.338,0.086,Random,N/A
0.11,-0.05,0.51,-0.02,0.52,179.676,1.392,0.372,-0.197,0.013,0.98,1,0,5.72,-2.083,-4.547,-2.571,-0.077,0.338,0.086,Random,N/A
0.12,-0.05,0.51,-0.01,0.51,179.653,1.371,0.46,-0.188,0.014,0.982,1,0,2.93,0.908,2.487,-1.251,-0.077,0.338,0.086,Random,N/A
0.13,-0.04,0.5,0,0.5,179.639,1.379,0.604,-0.18,0.033,0.983,1,0,5.23,2.007,4.486,-1.808,-0.077,0.338,0.086,Random,N/A
0.14,-0.03,0.5,-0.02,0.5,179.62,1.409,0.761,-0.163,0.11,0.98,1,0,3.65,1.534,2.304,-2.327,-0.077,0.338,0.086,Random,N/A
0.15,-0.03,0.5,-0.03,0.5,179.594,1.483,0.854,-0.174,0.106,0.979,1,0,10.27,2.869,-9.323,-2.892,-0.077,0.338,0.086,Random,N/A
0.16,-0.02,0.5,-0.04,0.5,179.575,1.531,0.859,-0.18,0.082,0.98,1,0,11.47,5.18,-9.781,-2.655,-0.077,0.338,0.086,Random,N/A
0.17,0,0.48,-0.03,0.48,179.546,1.626,0.879,-0.175,0.032,0.984,1,0,13.84,12.642,-4.715,-2.808,-0.065,0.325,0.095,Random,N/A
0.18,0,0.47,-0.04,0.47,179.513,1.761,0.964,-0.181,-0.034,0.983,1,0,21.25,19.836,6.233,-4.28,-0.065,0.325,0.095,Random,N/A
0.19,0.02,0.47,-0.02,0.47,179.468,1.922,1.157,-0.168,-0.038,0.985,1,0,28.77,23.392,15.61,-6.058,-0.065,0.325,0.095,Random,N/A
0.2,0.02,0.45,-0.02,0.45,179.409,2.109,1.417,-0.171,0.004,0.985,1,0,26.75,23.224,11.597,-6.432,-0.065,0.325,0.095,Random,N/A
0.21,0.02,0.45,-0.02,0.46,179.35,2.32,1.629,-0.168,0.057,0.984,1,0,22.78,22.179,2.243,-4.547,-0.065,0.325,0.095,Random,N/A
0.22,0.02,0.45,-0.01,0.45,179.308,2.556,1.749,-0.186,0.068,0.98,1,0,22.36,21.591,-5.15,-2.365,-0.065,0.325,0.095,Random,N/A
0.23,0,0.46,-0.03,0.46,179.284,2.786,1.787,-0.152,0.047,0.987,1,0,29.21,24.353,-15.999,-1.129,-0.065,0.325,0.095,Random,N/A
0.24,0,0.47,-0.05,0.47,179.26,3.03,1.755,-0.157,0.044,0.987,1,0,28.01,26.085,-9.087,-4.318,-0.065,0.325,0.095,Random,N/A
0.25,-0.01,0.48,-0.06,0.48,179.201,3.28,1.785,-0.171,0.048,0.984,1,0,28.1,24.841,-9.033,-9.338,-0.065,0.325,0.095,Random,N/A
0.26,0,0.48,-0.06,0.48,179.09,3.512,1.816,-0.185,0.055,0.981,1,0,25.01,19.18,-6.203,-14.656,-0.065,0.325,0.095,Random,N/A
0.27,0,0.48,-0.06,0.48,178.932,3.681,1.873,-0.181,0.069,0.981,1,0,23.48,13.191,-10.735,-16.029,-0.065,0.325,0.095,Random,N/A
0.28,-0.01,0.47,-0.06,0.48,178.769,3.802,1.89,-0.168,0.065,0.984,1,0,16.39,8.286,-6.264,-12.527,-0.065,0.325,0.095,Random,N/A
0.29,-0.03,0.47,-0.06,0.48,178.631,3.875,1.993,-0.173,0.042,0.984,1,0,8.07,3.212,2.792,-6.767,-0.074,0.338,0.086,Random,N/A
0.3,-0.03,0.49,-0.08,0.5,178.577,3.872,2.14,-0.167,0.029,0.985,1,0,5.66,-4.944,0.328,2.869,-0.074,0.338,0.086,Random,N/A
0.31,-0.04,0.5,-0.07,0.5,178.603,3.79,2.25,-0.165,0.024,0.986,1,0,14.55,-10.826,-6.218,7.545,-0.074,0.338,0.086,Random,N/A
0.32,-0.03,0.5,-0.07,0.5,178.672,3.651,2.292,-0.167,0.033,0.985,1,0,22.93,-17.258,-11.246,10.132,-0.074,0.338,0.086,Random,N/A
0.33,-0.03,0.51,-0.07,0.51,178.764,3.459,2.285,-0.166,0.048,0.985,1,0,30.05,-23.621,-14.87,11.2,-0.074,0.338,0.086,Random,N/A
