Time,ForceX,ForceY,ForceZ,ForceRez,YawG,PitchG,RollG,AccelX,AccelY,AccelZ,AccRMS,RST,GyroRMS,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Label,Technique
0.01,0,0.49,0.01,0.49,0,0.057,0.057,-0.195,-0.103,0.975,1,0,16.69,15.793,4.951,-2.151,0.014,0.08,-0.016,Random,N/A
0.02,-0.03,0.53,0.06,0.53,0,0.115,0.229,-0.271,-0.107,0.957,1,0,8.67,8.598,0.488,-1.03,0.014,0.08,-0.016,Random,N/A
0.03,-0.01,0.53,0.06,0.53,0,0.172,0.286,-0.282,-0.183,0.942,1,0,8.69,4.761,-7.057,1.755,0.014,0.08,-0.016,Random,N/A
0.04,-0.03,0.5,0.08,0.51,0,0.115,0.286,-0.311,-0.204,0.928,1,0,28.47,3.159,-27.74,5.585,0.014,0.08,-0.016,Random,N/A
0.05,-0.03,0.51,0.06,0.51,0.057,0.115,0,-0.316,-0.219,0.923,1,0,38.63,0.847,-37.773,8.064,0.014,0.08,-0.016,Random,N/A
0.06,-0.05,0.52,0.05,0.53,0.172,0,-0.286,-0.288,-0.183,0.94,1,0,33.64,-4.86,-32.722,6.111,0.014,0.08,-0.016,Random,N/A
0.07,-0.03,0.54,0.06,0.55,0.172,-0.115,-0.458,-0.25,-0.236,0.939,1,0,17.79,-9.895,-14.778,-0.092,0.014,0.08,-0.016,Random,N/A
0.08,-0.01,0.52,0.09,0.52,0.172,-0.286,-0.458,-0.248,-0.236,0.94,1,0,11.45,-9.399,2.266,-6.134,0.014,0.08,-0.016,Random,N/A
0.09,-0.03,0.54,0.09,0.54,0.115,-0.458,-0.286,-0.211,-0.172,0.962,1,0,16.64,-1.411,15.366,-6.233,0.012,0.089,-0.008,Random,N/A
0.1,-0.01,0.5,0.1,0.51,0.057,-0.458,-0.115,-0.132,-0.138,0.982,1,0,24.79,8.987,21.805,-7.645,0.012,0.089,-0.008,Random,N/A
0.11,0.01,0.51,0.09,0.52,-0.057,-0.458,0.286,-0.143,-0.13,0.981,1,0,33.11,15.999,25.139,-14.442,0.012,0.089,-0.008,Random,N/A
