Time,ForceX,ForceY,ForceZ,ForceRez,YawG,PitchG,RollG,AccelX,AccelY,AccelZ,AccRMS,RST,GyroRMS,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Label,Technique
0.01,0.01,0.51,-0.01,0.51,0.057,-0.057,0.115,-0.109,0.003,0.994,1,0,25.77,-12.444,15.846,16.06,-0.037,-0.127,-0.041,Random,N/A
0.02,0.02,0.5,0,0.5,0.229,-0.172,0.401,-0.069,0.006,0.998,1,0,22.18,-8.629,19.257,6.828,-0.037,-0.127,-0.041,Random,N/A
0.03,-0.02,0.5,0,0.5,0.229,-0.229,0.745,-0.111,0.055,0.992,1,0,16.97,-4.868,15.381,-5.257,-0.037,-0.127,-0.041,Random,N/A
0.04,-0.04,0.47,-0.06,0.47,0.172,-0.229,0.974,-0.123,0.03,0.992,1,0,14.57,-1.534,12.016,-8.102,-0.037,-0.127,-0.041,Random,N/A
0.05,-0.06,0.48,-0.06,0.49,0.115,-0.172,1.203,-0.16,0.054,0.986,1,0,11.37,3.731,8.53,-6.523,-0.037,-0.127,-0.041,Random,N/A
0.06,-0.08,0.48,-0.09,0.49,0.057,-0.057,1.375,-0.174,0.067,0.982,1,0,13.47,12.947,3.723,0.061,-0.037,-0.127,-0.041,Random,N/A
0.07,-0.11,0.46,-0.08,0.48,0.057,0.115,1.490,-0.157,0.069,0.985,1,0,24.9,23.56,-2.594,7.637,-0.037,-0.127,-0.041,Random,N/A
0.08,-0.06,0.47,-0.04,0.48,0.172,0.458,1.547,-0.149,0.076,0.986,1,0,32.1,29.648,-6.355,10.551,-0.037,-0.127,-0.041,Random,N/A
0.09,-0.05,0.45,-0.05,0.46,0.286,0.802,1.604,-0.148,0.126,0.981,1,0,32.09,29.633,-7.866,9.46,-0.037,-0.127,-0.041,Random,N/A
0.1,-0.09,0.48,0.01,0.48,0.344,1.203,1.604,-0.15,0.143,0.978,1,0,29.86,27.504,-7.423,8.949,-0.037,-0.127,-0.041,Random,N/A
0.11,-0.09,0.49,-0.02,0.49,0.401,1.375,1.604,-0.155,0.127,0.98,1,0,27.96,25.665,-5.783,9.46,-0.037,-0.127,-0.041,Random,N/A
0.12,-0.03,0.51,-0.01,0.51,0.573,1.776,1.662,-0.155,0.178,0.972,1,0,17.04,13.084,-4.227,10.071,-0.05,-0.13,-0.038,Random,N/A
0.13,-0.06,0.46,0.06,0.47,0.630,2.005,1.719,-0.122,0.136,0.983,1,0,13.95,10.414,-3.304,8.675,-0.05,-0.13,-0.038,Random,N/A
0.14,-0.05,0.44,0.13,0.46,0.745,2.235,1.719,-0.129,0.165,0.978,1,0,16.34,13.779,-4.105,7.774,-0.05,-0.13,-0.038,Random,N/A
0.15,-0.03,0.52,0.09,0.53,0.802,2.464,1.776,-0.126,0.165,0.978,1,0,14.61,13.786,-2.319,4.227,-0.05,-0.13,-0.038,Random,N/A
0.16,-0.03,0.56,0.08,0.57,0.859,2.636,1.833,-0.118,0.157,0.981,1,0,9.44,8.82,-3.105,-1.297,-0.05,-0.13,-0.038,Random,N/A
0.17,-0.08,0.53,0.03,0.54,0.802,2.807,1.833,-0.109,0.184,0.977,1,0,7.09,1.9,-2.831,-6.218,-0.05,-0.13,-0.038,Random,N/A
0.18,-0.09,0.56,0.05,0.57,0.745,2.922,1.891,-0.091,0.205,0.975,1,0,10.63,-4.059,-3.174,-9.3,-0.05,-0.13,-0.038,Random,N/A
0.19,-0.07,0.5,0.06,0.5,0.630,2.979,1.891,-0.098,0.18,0.979,1,0,13.94,-6.615,-1.953,-12.115,-0.05,-0.13,-0.038,Random,N/A
0.2,-0.02,0.46,0.1,0.47,0.516,2.979,1.948,-0.123,0.178,0.976,1,0,15.14,-6.088,0.511,-13.847,-0.05,-0.13,-0.038,Random,N/A
0.21,-0.04,0.53,-0.01,0.53,0.401,3.037,2.063,-0.097,0.166,0.981,1,0,16.09,-6.241,6.798,-13.176,-0.05,-0.13,-0.038,Random,N/A
0.22,-0.02,0.53,-0.01,0.53,0.286,3.037,2.177,-0.096,0.191,0.977,1,0,17.8,-10.399,10.01,-10.414,-0.05,-0.13,-0.038,Random,N/A
0.23,-0.02,0.51,-0.03,0.52,0.229,3.037,2.292,-0.105,0.175,0.979,1,0,18.85,-13.794,9.773,-8.331,-0.05,-0.13,-0.038,Random,N/A
0.24,-0.04,0.46,0.05,0.46,0.115,2.922,2.521,-0.157,0.139,0.978,1,0,26.87,-25.978,6.073,-3.227,-0.042,-0.146,-0.03,Random,N/A
0.25,0.01,0.4,0.05,0.4,0.115,2.693,2.636,-0.16,0.095,0.983,1,0,29.03,-28.694,3.639,-2.533,-0.042,-0.146,-0.03,Random,N/A
0.26,0.02,0.39,0.02,0.39,0.057,2.464,2.750,-0.139,0.085,0.987,1,0,22.15,-21.645,1.556,-4.448,-0.042,-0.146,-0.03,Random,N/A
0.27,0.04,0.44,0.04,0.44,0.000,2.349,2.922,-0.135,0.066,0.989,1,0,13.67,-9.621,2.487,-9.392,-0.042,-0.146,-0.03,Random,N/A
0.28,-0.03,0.48,0.02,0.48,-0.057,2.292,3.037,-0.211,0.006,0.978,1,0,14.46,0.687,1.45,-14.374,-0.042,-0.146,-0.03,Random,N/A
0.29,-0.01,0.49,0,0.49,-0.229,2.292,3.151,-0.237,0.083,0.968,1,0,16.03,3.86,0.832,-15.541,-0.042,-0.146,-0.03,Random,N/A
0.3,-0.01,0.49,0,0.49,-0.401,2.349,3.266,-0.196,0.054,0.979,1,0,12.77,5.043,-2.19,-11.528,-0.042,-0.146,-0.03,Random,N/A
0.31,0,0.45,-0.03,0.45,-0.458,2.406,3.380,-0.167,0.069,0.984,1,0,12.04,6.958,-5.684,-8.011,-0.042,-0.146,-0.03,Random,N/A
0.32,0.03,0.41,-0.1,0.42,-0.573,2.521,3.438,-0.116,0.079,0.99,1,0,15.04,10.963,-6.866,-7.668,-0.042,-0.146,-0.03,Random,N/A
0.33,0.01,0.47,-0.08,0.48,-0.630,2.693,3.438,-0.093,0.106,0.99,1,0,19.26,16.273,-5.31,-8.827,-0.042,-0.146,-0.03,Random,N/A
0.34,-0.05,0.52,-0.11,0.53,-0.745,2.979,3.495,-0.113,0.11,0.987,1,0,21.12,18.425,-1.869,-10.162,-0.042,-0.146,-0.03,Random,N/A
0.35,-0.01,0.55,-0.04,0.55,-0.802,3.209,3.552,-0.133,0.11,0.985,1,0,21.13,17.944,-3.822,-10.475,-0.042,-0.146,-0.03,Random,N/A
0.36,0.04,0.56,-0.09,0.56,-0.917,3.495,3.610,-0.113,0.114,0.987,1,0,17.33,14.282,-0.488,-9.796,-0.063,-0.122,-0.026,Random,N/A
0.37,0.02,0.55,-0.11,0.56,-1.031,3.667,3.724,-0.157,0.109,0.982,1,0,12.72,8.102,1.122,-9.743,-0.063,-0.122,-0.026,Random,N/A
0.38,-0.02,0.51,-0.13,0.53,-1.146,3.782,3.839,-0.144,0.114,0.983,1,0,12.6,0.862,6.264,-10.895,-0.063,-0.122,-0.026,Random,N/A
0.39,-0.02,0.55,-0.16,0.57,-1.203,3.782,4.011,-0.16,0.081,0.984,1,0,15.53,-4.242,9.285,-11.703,-0.063,-0.122,-0.026,Random,N/A
0.4,-0.03,0.6,-0.07,0.6,-1.318,3.724,4.240,-0.212,0.066,0.975,1,0,13.87,-5.974,6.63,-10.612,-0.063,-0.122,-0.026,Random,N/A
0.41,-0.01,0.59,-0.13,0.6,-1.432,3.667,4.412,-0.168,0.107,0.98,1,0,12.24,-6.409,5.547,-8.827,-0.063,-0.122,-0.026,Random,N/A
